Avg_Credit_Limit,Total_Credit_Cards,Total_visits_online,__Title__
0.49238578680203043,0.1111111111111111,0.06666666666666667,Point #0
0.23857868020304568,0.2222222222222222,0.6666666666666666,Point #1
0.23857868020304568,0.6666666666666665,0.2,Point #2
0.13705583756345177,0.4444444444444445,0.06666666666666667,Point #3
0.49238578680203043,0.5555555555555556,0.8,Point #4
0.08629441624365482,0.2222222222222222,0.06666666666666667,Point #5
0.49238578680203043,0.4444444444444445,0.7333333333333333,Point #6
0.06091370558375634,0.2222222222222222,0.06666666666666667,Point #7
0.010152284263959392,0.1111111111111111,0.13333333333333333,Point #8
0.0,0.3333333333333333,0.06666666666666667,Point #9
0.03553299492385787,0.3333333333333333,0.3333333333333333,Point #10
0.05076142131979696,0.2222222222222222,0.13333333333333333,Point #11
0.04060913705583757,0.0,0.3333333333333333,Point #12
0.030456852791878174,0.0,0.3333333333333333,Point #13
